2013-03-12 07:26:48 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/var/www/html/php5/nskolaris/supermama/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2013-03-12 07:26:48 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/var/www/html/php5/nskolaris/supermama/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2013-04-10 07:58:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 07:58:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 07:59:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:32) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 07:59:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:32) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:07:01 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:65) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:07:01 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:65) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:07:51 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:65) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:07:51 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:65) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:09:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:65) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:09:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:65) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:10:49 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:66) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:10:49 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/app_controller.php:66) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:11:13 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:11:13 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:11:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:11:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:12:30 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:12:30 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:13:19 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:13:19 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:13:59 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:13:59 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:31) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
2013-04-10 08:14:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:32) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 2]
2013-04-10 08:14:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/awafrut/app/controllers/front_controller.php:32) in [/home/appslanz/public_html/awafrut/app/views/layouts/default-mini.ctp, line 3]
